_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,task,task:confidence,what_is_the_first_letter_of_the_currently_verified_term,orig__golden,answer1,answer2,orig_task,task_gold,task_gold_reason,what_is_the_first_letter_of_the_currently_verified_term_gold
568817606,true,golden,166,"",1,0.9597,"n
N
n
N
N
N
N
N
N
N
N
N
N
N
N
N
N
n
n
n
N
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
N
n
N
n
n
n
N
N
N
n
N
n
n
N
n
n
N
n
n
N
n
n
N
n
N
n
N
N
N
n
n
N
N
N
N
N
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
N
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
N
n
n
n
N
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
n
N
N
N
N
N
n
n
n
n
n
n
n
n
n
n
n
n
N",,Yes,No,Is the concept 'Nervous System' relevant for the domain of Human Anatomy?,1,"",n
568817607,true,golden,174,"",2,1.0,"t
t
T
T
T
t
t
T
T
T
T
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
T
t
t
T
t
t
t
t
T
t
t
t
t
T
t
T
T
t
t
t
T
T
t
t
t
t
t
t
t
t
t
T
t
T
t
t
T
T
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
T
t
t
t
t
t
t
T
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
T
t
t
t
t
t
t
t
t
T
t
t
t
T
T
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
t
T
T
T
t
t
t
t
t
t
T
t",,Yes,No,Is the concept Trend relevant for the domain of Human Anatomy?,2,"",t
568817608,false,finalized,3,10/9/2014 11:56:27,1,1.0,"M
m
M",,Yes,No,Is the concept 'Musculoskeletal System' relevant for the domain of Human Anatomy?,,,
568817609,true,golden,162,"",2,1.0,"q
Q
Q
q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
Q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
Q
q
q
q
q
q
q
Q
q
Q
q
Q
q
q
q
q
q
Q
Q
Q
q
Q
q
q
Q
q
q
Q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
Q
q
q
q
q
q
q
q
q
q
q
q
Q
q
q
w
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
q
Q
Q
q
q
q
q
Q
q
q
q
q
q
q
q
q
q
q
Q
q
q
q
q
q
q
Q
q
Q
q
Q
q",,Yes,No,Is the concept Questionnaire relevant for the domain of Human Anatomy?,2,"",q
568817610,false,finalized,3,10/9/2014 11:32:20,2,1.0,"d
D
D",,Yes,No,Is the concept Doping relevant for the domain of Human Anatomy?,,,
568817611,true,golden,142,"",2,1.0,"c
C
c
v
C
C
C
C
C
C
c
C
c
C
C
C
C
C
C
C
c
C
C
c
C
C
C
C
c
C
c
c
c
c
c
c
c
c
c
c
c
C
c
c
C
C
c
c
C
c
C
c
C
c
C
C
c
c
C
c
c
C
c
c
c
c
c
c
C
c
C
C
C
c
c
c
c
c
c
C
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
C
c
c
c
c
C
c
c
c
a
C
c
C
c
C
C
C
C
C
C
C
C
C
C
c
c
C
c",,Yes,No,Is the concept Convergence relevant for the domain of Human Anatomy?,2,"",c
568817612,true,golden,171,"",1,1.0,"u
U
u
U
U
u
U
U
U
U
U
u
U
u
u
u
U
u
u
u
u
u
u
u
u
u
u
u
u
u
u
u
U
u
u
u
u
u
U
u
U
U
U
U
U
U
U
U
u
u
U
u
u
U
u
U
U
U
U
u
U
u
U
U
u
U
U
u
u
U
u
u
u
u
u
u
u
u
u
U
U
u
U
U
u
u
u
u
U
u
u
u
u
u
U
u
U
u
U
u
u
u
U
u
U
U
u
U
U
u
u
u
U
U
u
u
u
u
u
u
u
U
u
U
U
u
U
u
u
u
u
u
u
u
U
u
U
u
u
U
u
u
u
U
u
u
u
u
u
u
u
u
U
U
U
U
U
U
U
U
u
U
U
U
U
U
U
u
U
u
u",,Yes,No,Is the concept 'Urinary System' relevant for the domain of Human Anatomy?,1,"",u
568817613,true,golden,169,"",1,1.0,"I
i
i
I
i
I
i
i
I
i
i
I
i
i
I
i
i
I
i
i
I
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
I
i
i
i
i
I
i
I
I
I
i
I
I
I
I
I
i
I
i
I
i
i
i
i
I
I
I
I
I
I
I
I
i
I
i
I
i
i
I
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
I
I
i
i
f
i
i
i
i
i
i
i
I
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
I
i
i
i
i
I
i
i
i
i
i
I
I
I
I
I
I
I
i
i
i
i
i
I
i",,Yes,No,Is the concept 'Immune System' relevant for the domain of Human Anatomy?,1,"",i
568817614,false,finalized,3,10/9/2014 11:20:30,1,0.6653,"C
C
c",,Yes,No,Is the concept Cavity relevant for the domain of Human Anatomy?,,,
568817615,false,finalized,3,10/9/2014 11:19:32,1,1.0,"T
T
T",,Yes,No,Is the concept 'Thoracic Cavity' relevant for the domain of Human Anatomy?,,,
568817616,true,golden,164,"",2,1.0,"c
C
C
C
C
C
C
C
c
c
C
C
C
C
c
c
c
c
c
c
c
c
c
c
C
c
c
c
C
C
c
C
C
c
C
c
C
c
c
C
c
c
c
c
c
c
c
c
C
c
C
c
c
c
n
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
C
c
C
c
C
c
C
C
C
c
c
c
c
C
c
c
c
C
c
c
c
C
c
c
c
C
c
c
c
c
C
C
c
c
c
C
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
c
C
c
c
c
c
C
c
c
c
c
c
c
c
c
c
c
C
c
c
C
C
c
c
c
c
c
c
c
c
c
C",,Yes,No,Is the concept Captain relevant for the domain of Human Anatomy?,2,"",c
568817617,false,finalized,3,10/9/2014 11:35:35,1,1.0,"e
E
E",,Yes,No,Is the concept 'Endometrial Cavity' relevant for the domain of Human Anatomy?,,,
568817618,true,golden,187,"",2,0.9601,"i
I
I
i
I
i
I
I
I
I
I
I
I
I
I
I
I
I
I
I
i
I
I
I
I
I
I
I
I
i
I
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
I
i
i
i
i
I
I
i
I
i
i
i
I
i
i
i
i
i
i
i
i
I
i
i
i
i
i
i
i
i
i
i
I
I
I
i
i
I
i
i
i
I
i
i
i
i
i
i
i
i
i
I
i
i
i
i
i
i
i
i
I
i
i
i
i
i
i
i
I
i
i
i
i
i
i
i
i
i
i
i
I
i
i
I
i
i
i
i
I
i
i
i
i
I
i
i
i
i
i
i
I
i
i
i
i
i
i
i
I
I
I
I
N
I
I
I
i
i
i
i
i
i
i
i
i
i
i
I",,Yes,No,Is the concept International relevant for the domain of Human Anatomy?,2,"",i
568817619,false,finalized,3,10/9/2014 11:14:37,1,1.0,"p
P
p",,Yes,No,Is the concept 'Pericardial Cavity' relevant for the domain of Human Anatomy?,,,
568817620,true,golden,176,"",1,1.0,"p
P
P
P
P
P
p
p
p
p
P
p
p
P
P
P
P
p
P
P
p
P
p
P
P
P
P
P
P
P
p
p
p
P
P
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
P
p
p
p
P
p
p
p
P
p
P
p
p
P
P
p
p
P
p
p
p
P
p
p
P
p
p
P
p
p
P
P
p
p
p
P
p
p
p
p
p
P
p
p
P
p
p
p
p
p
p
p
p
p
p
P
p
p
p
p
P
p
P
p
P
P
p
P
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
p
P
P
p
p
p
P
p
p
p
p
p
p
p
P
p
P
P
p
P
p
P
p
p
p
p
p
p
p",,Yes,No,Is the concept Pelvis relevant for the domain of Human Anatomy?,1,"",p
568817621,true,golden,183,"",2,1.0,"s
S
s
S
S
S
s
S
S
S
S
S
S
S
s
S
s
s
S
s
S
s
s
S
s
s
s
s
s
s
s
s
s
s
S
s
s
s
S
s
s
s
s
s
S
S
S
s
s
S
S
S
S
S
s
S
S
s
s
S
s
S
s
S
s
S
s
S
S
S
S
S
S
S
S
S
S
s
S
s
s
s
s
s
s
s
s
s
S
s
S
s
s
S
s
s
s
s
S
S
s
s
s
s
s
s
s
s
s
s
s
S
S
s
S
s
S
s
s
s
s
s
S
S
S
s
s
s
s
S
s
S
S
S
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
S
s
S
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
S
S
S
s
S
s
s
s
s
s
s
s",,Yes,No,Is the concept Sharapova relevant for the domain of Human Anatomy?,2,"",s
568817622,false,finalized,3,10/9/2014 11:39:08,1,1.0,"p
P
P",,Yes,No,Is the concept 'Peritoneal Cavity' relevant for the domain of Human Anatomy?,,,
568817623,false,finalized,3,10/9/2014 11:22:28,1,1.0,"a
A
A",,Yes,No,Is the concept 'Abdominal Cavity' relevant for the domain of Human Anatomy?,,,
568817624,false,finalized,3,10/9/2014 11:31:58,1,1.0,"o
o
O",,Yes,No,Is the concept 'Oral Cavity' relevant for the domain of Human Anatomy?,,,
568817625,false,finalized,3,10/9/2014 11:45:33,1,1.0,"p
P
P",,Yes,No,Is the concept 'Pleural Cavity' relevant for the domain of Human Anatomy?,,,
568817626,false,finalized,3,10/9/2014 11:25:31,2,1.0,"M
M
M",,Yes,No,Is the concept Mountain relevant for the domain of Human Anatomy?,,,
568817627,false,finalized,3,10/9/2014 11:19:57,1,1.0,"N
N
N",,Yes,No,Is the concept 'Nasal Cavity' relevant for the domain of Human Anatomy?,,,
568817628,false,finalized,3,10/9/2014 11:18:55,2,1.0,"O
O
O",,Yes,No,Is the concept Orbit relevant for the domain of Human Anatomy?,,,
568817629,false,finalized,3,10/9/2014 11:06:44,1,1.0,"o
O
o",,Yes,No,Is the concept Organ relevant for the domain of Human Anatomy?,,,
568817630,false,finalized,3,10/9/2014 11:32:39,1,1.0,"S
s
S",,Yes,No,Is the concept Stomach relevant for the domain of Human Anatomy?,,,
568817632,false,finalized,3,10/9/2014 11:21:31,1,1.0,"l
L
L",,Yes,No,Is the concept Liver relevant for the domain of Human Anatomy?,,,
568817633,false,finalized,3,10/9/2014 11:37:42,2,1.0,"t
T
T",,Yes,No,Is the concept Thief relevant for the domain of Human Anatomy?,,,
568817634,false,finalized,3,10/9/2014 11:10:23,2,1.0,"T
T
t",,Yes,No,Is the concept Tsunami relevant for the domain of Human Anatomy?,,,
568817635,false,finalized,3,10/9/2014 11:29:12,1,1.0,"P
P
P",,Yes,No,Is the concept Pancreas relevant for the domain of Human Anatomy?,,,
568817636,false,finalized,3,10/9/2014 11:40:00,2,1.0,"C
C
c",,Yes,No,Is the concept Chairman relevant for the domain of Human Anatomy?,,,
568817637,false,finalized,3,10/9/2014 11:40:35,1,0.6694,"V
V
v",,Yes,No,Is the concept 'Vas Deferens' relevant for the domain of Human Anatomy?,,,
568817638,false,finalized,3,10/9/2014 11:34:15,1,1.0,"e
E
E",,Yes,No,Is the concept Epididymis relevant for the domain of Human Anatomy?,,,
568817639,false,finalized,3,10/9/2014 11:36:39,1,1.0,"g
G
G",,Yes,No,Is the concept Gallbladder relevant for the domain of Human Anatomy?,,,
568817640,false,finalized,3,10/9/2014 11:39:32,1,1.0,"S
A
S",,Yes,No,Is the concept 'Spinal Cord' relevant for the domain of Human Anatomy?,,,
568817641,false,finalized,3,10/9/2014 11:07:30,1,1.0,"S
s
S",,Yes,No,Is the concept 'Spermatic Cord' relevant for the domain of Human Anatomy?,,,
568817642,false,finalized,3,10/9/2014 11:21:31,1,1.0,"B
b
B",,Yes,No,Is the concept 'Biliary Tract' relevant for the domain of Human Anatomy?,,,
568817643,false,finalized,3,10/9/2014 11:23:00,2,1.0,"R
R
R",,Yes,No,Is the concept Recommendation relevant for the domain of Human Anatomy?,,,
568817644,false,finalized,3,10/9/2014 11:42:36,1,1.0,"d
D
D",,Yes,No,Is the concept Diaphragm relevant for the domain of Human Anatomy?,,,
568817645,false,finalized,3,10/9/2014 12:21:05,2,1.0,"S
S
s",,Yes,No,Is the concept Shot relevant for the domain of Human Anatomy?,,,
568817646,false,finalized,3,10/9/2014 11:17:14,1,1.0,"K
K
K",,Yes,No,Is the concept Kidney relevant for the domain of Human Anatomy?,,,
568817647,false,finalized,3,10/9/2014 11:19:41,2,1.0,"D
d
D",,Yes,No,Is the concept Defeat relevant for the domain of Human Anatomy?,,,
568817648,true,golden,187,"",1,1.0,"r
R
R
K
R
R
R
R
R
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
R
r
r
r
r
R
r
r
r
R
r
R
r
R
R
R
R
r
R
r
r
R
r
R
r
r
R
R
r
r
p
R
r
r
R
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
R
r
r
r
r
r
r
r
R
R
r
r
R
R
R
r
r
R
R
r
r
r
R
R
r
R
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
R
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
r
R
R
r
r
R
R
r
r
r
r
r
r
r
r
R
R
r
R
R
R
r
r
r
R
r
r",,Yes,No,Is the concept 'Right Kidney' relevant for the domain of Human Anatomy?,1,"",r
568817649,false,finalized,3,10/9/2014 11:39:08,1,1.0,"l
L
L",,Yes,No,Is the concept 'Left Kidney' relevant for the domain of Human Anatomy?,,,
568817650,false,finalized,3,10/9/2014 11:07:21,1,0.6778,"u
u
u",,Yes,No,Is the concept Ureter relevant for the domain of Human Anatomy?,,,
568817651,false,finalized,3,10/9/2014 11:18:02,1,1.0,"L
l
L",,Yes,No,Is the concept 'Left Ureter' relevant for the domain of Human Anatomy?,,,
568817652,false,finalized,3,10/9/2014 11:24:49,1,1.0,"r
R
R",,Yes,No,Is the concept 'Right Ureter' relevant for the domain of Human Anatomy?,,,
568817653,false,finalized,3,10/9/2014 11:18:55,1,1.0,"L
l
L",,Yes,No,Is the concept 'Lymph Node' relevant for the domain of Human Anatomy?,,,
568817654,false,finalized,3,10/9/2014 11:07:30,1,1.0,"R
r
R",,Yes,No,Is the concept 'Regional Lymph Node' relevant for the domain of Human Anatomy?,,,
568817655,false,finalized,3,10/9/2014 11:08:13,2,1.0,"b
B
b",,Yes,No,Is the concept Benlomond relevant for the domain of Human Anatomy?,,,
568817656,false,finalized,3,10/9/2014 11:18:40,2,1.0,"o
O
O",,Yes,No,Is the concept Outfit relevant for the domain of Human Anatomy?,,,
568817657,false,finalized,3,10/9/2014 11:27:46,2,1.0,"N
N
N",,Yes,No,Is the concept Northeastern relevant for the domain of Human Anatomy?,,,
568817658,false,finalized,3,10/9/2014 11:35:19,1,1.0,"i
I
I",,Yes,No,Is the concept 'Interval Lymph Node' relevant for the domain of Human Anatomy?,,,
568817659,true,golden,155,"",2,0.9197,"e
E
E
E
E
E
E
E
E
e
E
e
e
e
e
e
e
e
e
e
e
e
e
e
e
E
e
E
E
E
E
e
e
e
E
e
E
e
h
E
E
e
e
e
E
E
E
E
n
e
e
E
E
e
e
e
e
e
e
e
e
e
E
e
e
e
e
e
e
e
e
E
E
e
E
e
e
E
e
e
e
E
e
E
e
e
E
e
E
e
e
e
e
e
e
e
e
e
e
E
E
E
E
E
e
E
e
e
e
e
e
e
e
E
e
e
E
e
e
e
e
e
E
e
e
e
e
e
e
e
e
E
E
E
E
E
E
E
E
E
E
E
E
E
E
e
e
e
e
e
e
e
e
e
E",,Yes,No,Is the concept Evolution relevant for the domain of Human Anatomy?,2,"",e
568817660,false,finalized,3,10/9/2014 11:25:48,2,1.0,"m
M
M",,Yes,No,Is the concept Moderation relevant for the domain of Human Anatomy?,,,
568817661,false,finalized,3,10/9/2014 11:19:57,1,1.0,"S
S
S",,Yes,No,Is the concept 'Sentinel Lymph Node' relevant for the domain of Human Anatomy?,,,
568817662,false,finalized,3,10/9/2014 11:19:20,1,1.0,"L
L
l",,Yes,No,Is the concept 'Lymph Node by Anatomic Site' relevant for the domain of Human Anatomy?,,,
568817663,false,finalized,3,10/9/2014 11:19:09,1,1.0,"s
s
S",,Yes,No,Is the concept 'Subsegmental Lymph Node' relevant for the domain of Human Anatomy?,,,
568817664,false,finalized,3,10/9/2014 11:01:59,1,1.0,"C
C
c",,Yes,No,Is the concept 'Cervical Lymph Node' relevant for the domain of Human Anatomy?,,,
568817665,false,finalized,3,10/9/2014 11:13:16,2,1.0,"S
S
s",,Yes,No,Is the concept Season relevant for the domain of Human Anatomy?,,,
568817666,false,finalized,3,10/9/2014 11:08:13,1,1.0,"D
d
d",,Yes,No,Is the concept 'Deep Cervical Lymph Node' relevant for the domain of Human Anatomy?,,,
568817667,false,finalized,3,10/9/2014 11:49:55,1,1.0,"s
S
S",,Yes,No,Is the concept 'Superficial Cervical Lymph Node' relevant for the domain of Human Anatomy?,,,
568817668,false,finalized,3,10/9/2014 11:22:21,1,1.0,"i
I
I",,Yes,No,Is the concept 'Inguinal Lymph Node' relevant for the domain of Human Anatomy?,,,
568817669,false,finalized,3,10/9/2014 11:28:07,1,1.0,"i
I
I",,Yes,No,Is the concept 'Internal Mammary Lymph Node' relevant for the domain of Human Anatomy?,,,
568817670,false,finalized,3,10/9/2014 11:28:30,1,1.0,"t
T
T",,Yes,No,Is the concept 'Thoracic Lymph Node' relevant for the domain of Human Anatomy?,,,
568817671,false,finalized,3,10/9/2014 11:39:58,1,1.0,"I
I
I",,Yes,No,Is the concept 'Intra-thoracic Lymph Node' relevant for the domain of Human Anatomy?,,,
568817672,false,finalized,3,10/9/2014 11:17:34,1,1.0,"i
I
I",,Yes,No,Is the concept 'Iliac Lymph Node' relevant for the domain of Human Anatomy?,,,
568817673,false,finalized,3,10/9/2014 11:20:33,1,1.0,"h
H
H",,Yes,No,Is the concept 'Head and Neck Lymph Node' relevant for the domain of Human Anatomy?,,,
568817674,false,finalized,3,10/9/2014 11:28:30,1,1.0,"P
P
P",,Yes,No,Is the concept 'Parotid Gland Lymph Node' relevant for the domain of Human Anatomy?,,,
568817675,false,finalized,3,10/9/2014 11:14:48,1,1.0,"I
i
I",,Yes,No,Is the concept 'Intrathoracic Lymph Node' relevant for the domain of Human Anatomy?,,,
568817676,true,golden,146,"",1,1.0,"s
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
s
s
S
S
s
s
s
S
s
s
s
s
s
s
s
s
s
S
s
s
s
S
S
s
S
S
S
S
S
s
S
s
s
s
S
S
S
S
S
s
s
s
S
S
s
s
S
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
S
s
s
S
s
s
s
s
S
s
S
S
S
S
s
s
s
s
s
s
s
s
s
s
s
s
S
s
S
S
S
s
S
s
s
s
s
S
S
S
S
s
S
s
s
s
S
s
s
s
s
s
s
s
S
S
s
S
s
s
s
s
S",,Yes,No,Is the concept 'Splenic Hilar Lymph Node' relevant for the domain of Human Anatomy?,1,"",s
568817677,false,finalized,3,10/9/2014 11:04:38,1,1.0,"b
b
B",,Yes,No,Is the concept 'Bronchial Lymph Node' relevant for the domain of Human Anatomy?,,,
568817678,false,finalized,3,10/9/2014 11:44:59,1,1.0,"m
M
M",,Yes,No,Is the concept 'Mediastinal Lymph Node' relevant for the domain of Human Anatomy?,,,
568817679,false,finalized,3,10/9/2014 11:20:46,1,1.0,"a
a
A",,Yes,No,Is the concept 'Anterior Mediastinal Lymph Node' relevant for the domain of Human Anatomy?,,,
568817680,false,finalized,3,10/9/2014 11:24:49,1,1.0,"l
l
L",,Yes,No,Is the concept 'Lymph Node of Inguinal Region or Leg' relevant for the domain of Human Anatomy?,,,
568817681,false,finalized,3,10/9/2014 11:21:31,2,1.0,"C
c
C",,Yes,No,Is the concept Coins relevant for the domain of Human Anatomy?,,,
568817682,false,finalized,3,10/9/2014 11:33:20,1,1.0,"P
p
P",,Yes,No,Is the concept 'Pelvic Lymph Node' relevant for the domain of Human Anatomy?,,,
568817683,false,finalized,3,10/9/2014 11:17:34,1,1.0,"i
I
I",,Yes,No,Is the concept 'Intra-abdominal Lymph Node' relevant for the domain of Human Anatomy?,,,
568817684,false,finalized,3,10/9/2014 11:00:48,2,1.0,"s
S
S",,Yes,No,Is the concept Shoes relevant for the domain of Human Anatomy?,,,
568817685,false,finalized,3,10/9/2014 11:22:53,1,1.0,"p
P
P",,Yes,No,Is the concept 'Popliteal Lymph Node' relevant for the domain of Human Anatomy?,,,
568817686,false,finalized,3,10/9/2014 11:14:48,2,1.0,"k
k
K",,Yes,No,Is the concept Keystone relevant for the domain of Human Anatomy?,,,
568817687,false,finalized,3,10/9/2014 11:12:59,1,1.0,"s
S
S",,Yes,No,Is the concept 'Supraclavicular Lymph Node' relevant for the domain of Human Anatomy?,,,
568817688,false,finalized,3,10/9/2014 11:34:15,1,1.0,"M
m
M",,Yes,No,Is the concept 'Medial Supraclavicular Lymph Node' relevant for the domain of Human Anatomy?,,,
568817689,false,finalized,3,10/9/2014 11:44:12,1,1.0,"a
A
A",,Yes,No,Is the concept 'Axillary Lymph Node' relevant for the domain of Human Anatomy?,,,
568817690,false,finalized,3,10/9/2014 11:22:21,1,1.0,"h
h
H",,Yes,No,Is the concept Heart relevant for the domain of Human Anatomy?,,,
568817691,false,finalized,3,10/9/2014 11:21:28,2,1.0,"C
c
C",,Yes,No,Is the concept Citizenship relevant for the domain of Human Anatomy?,,,
568817692,false,finalized,3,10/9/2014 11:17:14,1,1.0,"b
b
B",,Yes,No,Is the concept Brain relevant for the domain of Human Anatomy?,,,
568817693,false,finalized,3,10/9/2014 11:16:18,1,1.0,"b
B
B",,Yes,No,Is the concept Bladder relevant for the domain of Human Anatomy?,,,
568817694,false,finalized,3,10/9/2014 11:24:13,1,1.0,"o
O
O",,Yes,No,Is the concept 'Organ of the Special Sense' relevant for the domain of Human Anatomy?,,,
568817695,false,finalized,3,10/9/2014 11:18:02,1,1.0,"t
T
T",,Yes,No,Is the concept Tongue relevant for the domain of Human Anatomy?,,,
568817696,false,finalized,3,10/9/2014 11:27:19,2,1.0,"F
F
F",,Yes,No,Is the concept Follower relevant for the domain of Human Anatomy?,,,
568817697,false,finalized,3,10/9/2014 11:26:25,1,1.0,"N
n
N",,Yes,No,Is the concept Nose relevant for the domain of Human Anatomy?,,,
568817698,false,finalized,3,10/9/2014 11:14:48,1,1.0,"e
E
E",,Yes,No,Is the concept Ear relevant for the domain of Human Anatomy?,,,
568817699,false,finalized,3,10/9/2014 11:17:04,2,1.0,"c
C
C",,Yes,No,Is the concept 'Coral Reef' relevant for the domain of Human Anatomy?,,,
568817700,false,finalized,3,10/9/2014 11:59:45,1,1.0,"E
E
E",,Yes,No,Is the concept Eye relevant for the domain of Human Anatomy?,,,
