_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,task,task:confidence,what_is_the_last_letter_of_the_currently_verified_term,orig__golden,answer1,answer2,orig_task,task_gold,task_gold_reason,what_is_the_last_letter_of_the_currently_verified_term_gold
568812914,false,finalized,3,10/9/2014 11:23:21,1,1.0,"r
r
r",,Yes,No,In the domain of Human Anatomy: Is class 'Left Ureter' a subclass of Ureter?,,,
568812915,false,finalized,3,10/9/2014 11:24:27,1,1.0,"r
r
r",,Yes,No,In the domain of Human Anatomy: Is class 'Right Ureter' a subclass of Ureter?,,,
568812916,false,finalized,3,10/9/2014 12:19:18,1,0.6694,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Lymph Node' a subclass of Organ?,,,
568812917,false,finalized,3,10/9/2014 11:23:54,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Regional Lymph Node' a subclass of 'Lymph Node'?,,,
568812918,false,finalized,3,10/9/2014 12:19:38,2,0.672,"l
l
l",,Yes,No,In the domain of Human Anatomy: Is class 'Renal Efferent Vessel' a subclass of 'Lymph Node'?,,,
568812919,false,finalized,3,10/9/2014 11:22:29,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Sentinel Lymph Node' a subclass of 'Lymph Node'?,,,
568812920,false,finalized,3,10/9/2014 11:44:53,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Lymph Node by Anatomic Site' a subclass of 'Lymph Node'?,,,
568812921,false,finalized,3,10/9/2014 11:54:01,2,0.664,"x
x
x",,Yes,No,In the domain of Human Anatomy: Is class 'Lymph Node Cortex' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812922,false,finalized,3,10/9/2014 11:47:17,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Cervical Lymph Node' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812923,false,finalized,3,10/9/2014 11:26:02,2,0.6613,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Irregular Tubule' a subclass of 'Cervical Lymph Node'?,,,
568812924,false,finalized,3,10/9/2014 11:24:27,2,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Posterior Ulnar Vein' a subclass of 'Cervical Lymph Node'?,,,
568812925,false,finalized,3,10/9/2014 11:57:31,2,1.0,"a
a
a",,Yes,No,In the domain of Human Anatomy: Is class 'Large Intestinal Lamina Propria' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812926,false,finalized,3,10/9/2014 11:01:51,2,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Internal Calcanean Artery' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812927,false,finalized,3,10/9/2014 11:12:44,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Thoracic Lymph Node' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812928,false,finalized,3,10/9/2014 11:19:15,2,0.664,"l
l
l",,Yes,No,In the domain of Human Anatomy: Is class 'Endothelial Cell' a subclass of 'Thoracic Lymph Node'?,,,
568812929,false,finalized,3,10/9/2014 11:49:41,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Iliac Lymph Node' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812930,false,finalized,3,10/9/2014 12:07:54,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Head and Neck Lymph Node' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812931,false,finalized,3,10/9/2014 11:06:35,2,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Callosomarginal Artery' a subclass of 'Head and Neck Lymph Node'?,,,
568812932,false,finalized,3,10/9/2014 11:52:13,2,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Hypogastric Region' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812933,false,finalized,3,10/9/2014 11:54:45,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Splenic Hilar Lymph Node' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812934,false,finalized,3,10/9/2014 11:07:39,1,0.6613,"s
s
s",,Yes,No,In the domain of Human Anatomy: Is class 'Lymph Node Subcapsular Sinus' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812935,false,finalized,3,10/9/2014 11:15:36,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Mediastinal Lymph Node' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812936,false,finalized,3,10/9/2014 11:45:27,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Anterior Mediastinal Lymph Node' a subclass of 'Mediastinal Lymph Node'?,,,
568812937,false,finalized,3,10/9/2014 12:22:18,1,1.0,"g
g
g",,Yes,No,In the domain of Human Anatomy: Is class 'Lymph Node of Inguinal Region or Leg' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812938,false,finalized,3,10/9/2014 11:50:10,2,1.0,"l
l
l",,Yes,No,In the domain of Human Anatomy: Is class 'Lactotrope Cell' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812939,false,finalized,3,10/9/2014 12:03:42,2,1.0,"a
a
a",,Yes,No,In the domain of Human Anatomy: Is class Chiasma a subclass of 'Lymph Node by Anatomic Site'?,,,
568812940,false,finalized,3,10/9/2014 11:16:25,2,1.0,"s
s
s",,Yes,No,In the domain of Human Anatomy: Is class 'Superior Frontal Sulcus' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812941,false,finalized,3,10/9/2014 12:26:32,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Supraclavicular Lymph Node' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812942,false,finalized,3,10/9/2014 11:52:36,2,1.0,"x
x
x",,Yes,No,In the domain of Human Anatomy: Is class Cervix a subclass of 'Supraclavicular Lymph Node'?,,,
568812943,false,finalized,3,10/9/2014 11:26:05,2,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Small Cardiac Vein' a subclass of 'Lymph Node by Anatomic Site'?,,,
568812944,false,finalized,3,10/9/2014 11:19:41,2,0.6613,"l
l
l",,Yes,No,In the domain of Human Anatomy: Is class 'Root of the Nail' a subclass of Organ?,,,
568812945,false,finalized,3,10/9/2014 11:50:47,1,0.6612,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class Brain a subclass of Organ?,,,
568812946,false,finalized,3,10/9/2014 12:05:11,1,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class Brain a subclass of 'Central Nervous System Part'?,,,
568812947,false,finalized,3,10/9/2014 11:28:49,2,0.6613,"t
t
t",,Yes,No,In the domain of Human Anatomy: Is class 'Intrahepatic Portion of the Left Hepatic Duct' a subclass of Organ?,,,
568812948,false,finalized,3,10/9/2014 12:05:22,1,1.0,"e
s
e",,Yes,No,In the domain of Human Anatomy: Is class 'Organ of the Special Sense' a subclass of Organ?,,,
568812949,false,finalized,3,10/9/2014 11:13:57,2,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Gyrus Longus Insulae' a subclass of 'Organ of the Special Sense'?,,,
568812950,false,finalized,3,10/9/2014 12:04:08,2,0.6694,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Internal Maxillary Vein' a subclass of 'Organ of the Special Sense'?,,,
568812951,false,finalized,3,10/9/2014 12:06:19,2,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Right Pulmonary Vein' a subclass of 'Organ of the Special Sense'?,,,
568812952,false,finalized,3,10/9/2014 11:06:35,1,0.6694,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class Eye a subclass of 'Organ of the Special Sense'?,,,
568812953,false,finalized,3,10/9/2014 11:09:23,2,0.6613,"a
a
a",,Yes,No,In the domain of Human Anatomy: Is class Urethra a subclass of Organ?,,,
568812954,true,golden,320,"",1,1.0,"a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
A
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
A
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
A
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a",,Yes,No,In the domain of Human Anatomy: Is class 'Male Urethra' a subclass of Urethra?,1,"A ""Male Urethra"" is a kind of ""Urethra""",a
568812955,true,golden,317,"",2,1.0,"a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
A
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
A
a
a
A
A
a
A
A
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a",,Yes,No,In the domain of Human Anatomy: Is class Saliva a subclass of Urethra?,2,"""Saliva is a watery substance located in the mouths of animals, secreted by the salivary glands. "" (http://en.wikipedia.org/wiki/Saliva)
""Saliva"" is a body fluid (a gland secretion) and therefore not a kind of ""Urethra"".",a
568812956,false,finalized,3,10/9/2014 11:45:39,2,1.0,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class 'Hematopoietic System' a subclass of Organ?,,,
568812957,false,finalized,3,10/9/2014 11:32:57,2,0.6613,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Precentral Artery' a subclass of Organ?,,,
568812958,false,finalized,3,10/9/2014 12:05:08,2,0.6777,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class Skin a subclass of Organ?,,,
568812959,false,finalized,3,10/9/2014 11:49:15,1,1.0,"p
p
p",,Yes,No,In the domain of Human Anatomy: Is class 'Skin of the Lip' a subclass of Skin?,,,
568812960,false,finalized,3,10/9/2014 11:53:06,1,1.0,"p
p
p",,Yes,No,In the domain of Human Anatomy: Is class 'Skin of the Lip' a subclass of 'Skin of the Face'?,,,
568812961,false,finalized,3,10/9/2014 11:24:27,2,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Large Intestinal Crypt of the Lieberkuhn' a subclass of Skin?,,,
568812962,false,finalized,3,10/9/2014 11:22:03,1,1.0,"r
r
r",,Yes,No,In the domain of Human Anatomy: Is class 'Skin of the Upper Limb and Shoulder' a subclass of Skin?,,,
568812963,true,golden,274,"",1,0.9601,"k
k
k
k
k
k
k
k
k
k
k
k
n
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
K
k
k
n
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
l
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
N
K
k
k
K
K
k
K
k
k
k
k
K
K
k
K
k
k
k
k
k
k
k
n
k
k
k
k
k
k
k
k
k
k
n
k
k
k
k
k
k
k
k
n
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
K
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
n
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
k
n
k
k
k
k
k
k
k
k
k
k
k
k
k
k",,Yes,No,In the domain of Human Anatomy: Is class 'Skin of the Trunk' a subclass of Skin?,1,'Skin of the Trunk' is a kind of Skin,k
568812964,false,finalized,3,10/9/2014 11:56:41,2,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Superior Mesenteric Vein' a subclass of 'Skin of the Trunk'?,,,
568812965,false,finalized,3,10/9/2014 11:51:39,1,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Skin of the Extremity' a subclass of Skin?,,,
568812966,false,finalized,3,10/9/2014 11:13:57,1,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Leg Skin' a subclass of 'Skin of the Extremity'?,,,
568812967,false,finalized,3,10/9/2014 11:02:23,1,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Wrist Skin' a subclass of 'Skin of the Extremity'?,,,
568812968,false,finalized,3,10/9/2014 11:18:07,1,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Hand Skin' a subclass of 'Skin of the Extremity'?,,,
568812969,false,finalized,3,10/9/2014 13:48:06,1,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Hand Digit Skin' a subclass of 'Hand Skin'?,,,
568812970,false,finalized,3,10/9/2014 11:11:48,1,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Foot Skin' a subclass of 'Skin of the Extremity'?,,,
568812971,false,finalized,3,10/9/2014 12:20:06,1,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Foot Digit Skin' a subclass of 'Foot Skin'?,,,
568812972,false,finalized,3,10/9/2014 10:58:30,1,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class 'Ankle Skin' a subclass of 'Skin of the Extremity'?,,,
568812973,false,finalized,3,10/9/2014 11:10:34,2,0.6667,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Anterior Olfactory Lobule' a subclass of 'Skin of the Extremity'?,,,
